user_id,signup_date,acquisition_channel
10200,2025-04-07,Paid Ads
10201,2025-03-02,Paid Ads
10202,2025-02-20,Organic
10203,2025-01-23,Organic
10204,2025-03-18,Paid Ads
10205,2025-06-02,Paid Ads
10206,2025-04-01,Organic
10207,2025-04-11,Referral
10208,2025-04-06,Paid Ads
10209,2025-03-11,Organic
10210,2025-04-18,Paid Ads
10211,2025-02-10,Paid Ads
10212,2025-01-05,Paid Ads
10213,2025-05-07,Organic
10214,2025-02-13,Paid Ads
10215,2025-03-08,Organic
10216,2025-03-11,Paid Ads
10217,2025-04-26,Paid Ads
10218,2025-01-29,Paid Ads
10219,2025-03-13,Paid Ads
10220,2025-06-25,Paid Ads
10221,2025-06-12,Organic
10222,2025-06-16,Paid Ads
10223,2025-03-20,Organic
10224,2025-03-26,Paid Ads
10225,2025-04-30,Referral
10226,2025-01-01,Referral
10227,2025-01-24,Organic
10228,2025-06-07,Paid Ads
10229,2025-03-23,Organic
10230,2025-06-14,Referral
10231,2025-05-27,Organic
10232,2025-04-13,Organic
10233,2025-03-04,Organic
10234,2025-05-07,Paid Ads
10235,2025-03-30,Paid Ads
10236,2025-04-06,Paid Ads
10237,2025-05-13,Organic
10238,2025-05-06,Referral
10239,2025-02-01,Paid Ads
10240,2025-05-21,Paid Ads
10241,2025-03-13,Organic
10242,2025-01-19,Paid Ads
10243,2025-04-11,Paid Ads
10244,2025-01-30,Organic
10245,2025-02-22,Paid Ads
10246,2025-03-27,Paid Ads
10247,2025-05-04,Paid Ads
10248,2025-03-26,Organic
10249,2025-06-08,Paid Ads
10250,2025-04-16,Paid Ads
10251,2025-03-30,Paid Ads
10252,2025-03-26,Organic
10253,2025-04-13,Paid Ads
10254,2025-03-27,Paid Ads
10255,2025-01-29,Organic
10256,2025-06-20,Paid Ads
10257,2025-04-15,Paid Ads
10258,2025-01-03,Paid Ads
10259,2025-05-04,Paid Ads
10260,2025-02-01,Paid Ads
10261,2025-06-26,Paid Ads
10262,2025-06-03,Organic
10263,2025-05-01,Organic
10264,2025-01-02,Paid Ads
10265,2025-02-19,Organic
10266,2025-04-06,Organic
10267,2025-05-25,Organic
10268,2025-02-15,Organic
10269,2025-05-29,Paid Ads
10270,2025-01-10,Organic
10271,2025-03-10,Referral
10272,2025-03-19,Paid Ads
10273,2025-06-26,Referral
10274,2025-01-08,Paid Ads
10275,2025-03-31,Paid Ads
10276,2025-06-19,Paid Ads
10277,2025-02-01,Paid Ads
10278,2025-03-07,Organic
10279,2025-05-31,Paid Ads
10280,2025-01-02,Paid Ads
10281,2025-03-28,Organic
10282,2025-02-06,Organic
10283,2025-06-27,Paid Ads
10284,2025-05-28,Paid Ads
10285,2025-02-27,Referral
10286,2025-05-02,Referral
10287,2025-04-19,Referral
10288,2025-03-05,Organic
10289,2025-05-06,Referral
10290,2025-03-12,Organic
10291,2025-04-12,Paid Ads
10292,2025-02-10,Organic
10293,2025-01-13,Paid Ads
10294,2025-05-16,Referral
10295,2025-01-24,Paid Ads
10296,2025-06-18,Organic
10297,2025-04-30,Referral
10298,2025-01-29,Referral
10299,2025-01-05,Referral
10300,2025-01-07,Organic
10301,2025-04-22,Paid Ads
10302,2025-04-13,Organic
10303,2025-04-19,Organic
10304,2025-05-04,Paid Ads
10305,2025-02-21,Paid Ads
10306,2025-06-12,Referral
10307,2025-04-10,Referral
10308,2025-06-22,Referral
10309,2025-03-22,Organic
10310,2025-02-07,Referral
10311,2025-06-12,Referral
10312,2025-01-28,Paid Ads
10313,2025-06-02,Paid Ads
10314,2025-05-21,Paid Ads
10315,2025-04-08,Referral
10316,2025-04-26,Paid Ads
10317,2025-06-17,Organic
10318,2025-04-11,Organic
10319,2025-03-26,Paid Ads
10320,2025-04-26,Paid Ads
10321,2025-03-20,Paid Ads
10322,2025-06-21,Referral
10323,2025-02-12,Organic
10324,2025-01-18,Paid Ads
10325,2025-03-22,Paid Ads
10326,2025-03-22,Paid Ads
10327,2025-01-16,Referral
10328,2025-06-15,Organic
10329,2025-05-25,Organic
10330,2025-04-16,Paid Ads
10331,2025-02-14,Organic
10332,2025-04-01,Paid Ads
10333,2025-05-26,Paid Ads
10334,2025-06-12,Paid Ads
10335,2025-04-04,Organic
10336,2025-02-20,Paid Ads
10337,2025-01-08,Referral
10338,2025-01-01,Organic
10339,2025-03-04,Paid Ads
10340,2025-05-04,Organic
10341,2025-02-03,Referral
10342,2025-01-03,Paid Ads
10343,2025-03-30,Paid Ads
10344,2025-03-14,Organic
10345,2025-02-10,Paid Ads
10346,2025-03-12,Paid Ads
10347,2025-03-18,Paid Ads
10348,2025-04-14,Organic
10349,2025-03-06,Paid Ads
10350,2025-05-03,Organic
10351,2025-05-06,Paid Ads
10352,2025-03-12,Organic
10353,2025-04-03,Organic
10354,2025-05-16,Referral
10355,2025-01-11,Paid Ads
10356,2025-03-02,Organic
10357,2025-04-28,Paid Ads
10358,2025-05-29,Referral
10359,2025-06-17,Organic
10360,2025-05-06,Paid Ads
10361,2025-03-11,Organic
10362,2025-02-08,Organic
10363,2025-02-26,Organic
10364,2025-05-31,Referral
10365,2025-06-17,Organic
10366,2025-02-11,Paid Ads
10367,2025-06-30,Organic
10368,2025-03-18,Paid Ads
10369,2025-06-29,Organic
10370,2025-04-15,Referral
10371,2025-01-27,Referral
10372,2025-03-17,Referral
10373,2025-06-29,Referral
10374,2025-05-30,Referral
10375,2025-05-17,Referral
10376,2025-03-21,Organic
10377,2025-05-31,Paid Ads
10378,2025-05-18,Organic
10379,2025-04-21,Organic
10380,2025-01-10,Paid Ads
10381,2025-05-11,Organic
10382,2025-02-14,Referral
10383,2025-05-02,Paid Ads
10384,2025-04-29,Organic
10385,2025-02-22,Organic
10386,2025-03-05,Organic
10387,2025-04-09,Referral
10388,2025-01-13,Organic
10389,2025-03-10,Paid Ads
10390,2025-01-15,Organic
10391,2025-01-12,Organic
10392,2025-05-23,Paid Ads
10393,2025-04-13,Paid Ads
10394,2025-02-03,Paid Ads
10395,2025-01-01,Paid Ads
10396,2025-05-23,Referral
10397,2025-03-01,Referral
10398,2025-04-06,Paid Ads
10399,2025-01-14,Paid Ads
10400,2025-06-30,Paid Ads
10401,2025-05-18,Organic
10402,2025-06-26,Paid Ads
10403,2025-03-17,Referral
10404,2025-02-12,Organic
10405,2025-06-02,Referral
10406,2025-05-19,Paid Ads
10407,2025-01-17,Organic
10408,2025-06-06,Paid Ads
10409,2025-01-18,Paid Ads
10410,2025-01-14,Paid Ads
10411,2025-05-17,Paid Ads
10412,2025-03-11,Referral
10413,2025-05-27,Organic
10414,2025-06-21,Organic
10415,2025-02-17,Organic
10416,2025-01-21,Paid Ads
10417,2025-03-24,Paid Ads
10418,2025-01-23,Organic
10419,2025-05-21,Paid Ads
10420,2025-02-27,Paid Ads
10421,2025-06-28,Organic
10422,2025-03-22,Organic
10423,2025-01-31,Paid Ads
10424,2025-03-29,Paid Ads
10425,2025-02-20,Paid Ads
10426,2025-01-24,Referral
10427,2025-03-08,Organic
10428,2025-01-01,Referral
10429,2025-04-13,Paid Ads
10430,2025-01-13,Paid Ads
10431,2025-05-08,Organic
10432,2025-04-09,Organic
10433,2025-04-23,Organic
10434,2025-01-29,Paid Ads
10435,2025-05-09,Paid Ads
10436,2025-02-13,Paid Ads
10437,2025-04-09,Organic
10438,2025-04-24,Organic
10439,2025-06-30,Organic
10440,2025-05-16,Paid Ads
10441,2025-02-13,Referral
10442,2025-06-12,Paid Ads
10443,2025-02-08,Organic
10444,2025-03-29,Referral
10445,2025-06-02,Paid Ads
10446,2025-05-12,Paid Ads
10447,2025-01-25,Paid Ads
10448,2025-01-05,Organic
10449,2025-02-20,Paid Ads
10450,2025-04-05,Organic
10451,2025-06-24,Paid Ads
10452,2025-05-25,Organic
10453,2025-01-14,Organic
10454,2025-01-24,Paid Ads
10455,2025-03-29,Organic
10456,2025-05-18,Paid Ads
10457,2025-05-16,Organic
10458,2025-06-04,Paid Ads
10459,2025-01-01,Organic
10460,2025-03-10,Paid Ads
10461,2025-05-01,Paid Ads
10462,2025-06-03,Organic
10463,2025-02-16,Paid Ads
10464,2025-05-14,Paid Ads
10465,2025-05-01,Referral
10466,2025-02-06,Paid Ads
10467,2025-03-28,Organic
10468,2025-04-02,Paid Ads
10469,2025-06-02,Paid Ads
10470,2025-06-08,Referral
10471,2025-06-03,Paid Ads
10472,2025-06-17,Paid Ads
10473,2025-05-17,Paid Ads
10474,2025-02-14,Paid Ads
10475,2025-01-25,Organic
10476,2025-01-01,Referral
10477,2025-03-16,Paid Ads
10478,2025-05-04,Organic
10479,2025-03-23,Paid Ads
10480,2025-01-09,Paid Ads
10481,2025-01-30,Paid Ads
10482,2025-03-12,Paid Ads
10483,2025-06-21,Paid Ads
10484,2025-06-02,Paid Ads
10485,2025-06-04,Organic
10486,2025-03-31,Paid Ads
10487,2025-03-27,Paid Ads
10488,2025-04-28,Referral
10489,2025-04-02,Organic
10490,2025-04-29,Referral
10491,2025-02-18,Paid Ads
10492,2025-02-09,Paid Ads
10493,2025-05-18,Paid Ads
10494,2025-05-23,Paid Ads
10495,2025-03-04,Paid Ads
10496,2025-03-22,Paid Ads
10497,2025-05-22,Organic
10498,2025-05-02,Paid Ads
10499,2025-01-08,Paid Ads
10500,2025-06-15,Organic
10501,2025-01-03,Paid Ads
10502,2025-01-15,Paid Ads
10503,2025-06-24,Referral
10504,2025-06-24,Paid Ads
10505,2025-03-29,Paid Ads
10506,2025-06-13,Paid Ads
10507,2025-03-04,Paid Ads
10508,2025-06-20,Paid Ads
10509,2025-03-28,Paid Ads
10510,2025-01-16,Organic
10511,2025-03-03,Paid Ads
10512,2025-04-19,Organic
10513,2025-04-13,Paid Ads
10514,2025-06-18,Organic
10515,2025-05-20,Organic
10516,2025-04-04,Paid Ads
10517,2025-04-21,Paid Ads
10518,2025-05-25,Organic
10519,2025-02-24,Paid Ads
10520,2025-03-26,Organic
10521,2025-03-02,Paid Ads
10522,2025-01-28,Organic
10523,2025-06-06,Paid Ads
10524,2025-06-19,Paid Ads
10525,2025-05-21,Paid Ads
10526,2025-04-05,Paid Ads
10527,2025-02-06,Paid Ads
10528,2025-06-22,Organic
10529,2025-04-26,Paid Ads
10530,2025-01-06,Referral
10531,2025-01-31,Referral
10532,2025-01-25,Paid Ads
10533,2025-03-09,Organic
10534,2025-04-28,Organic
10535,2025-02-16,Organic
10536,2025-05-10,Referral
10537,2025-01-12,Paid Ads
10538,2025-04-13,Paid Ads
10539,2025-04-06,Organic
10540,2025-05-14,Paid Ads
10541,2025-05-10,Paid Ads
10542,2025-02-19,Organic
10543,2025-06-25,Paid Ads
10544,2025-01-07,Paid Ads
10545,2025-06-16,Paid Ads
10546,2025-04-22,Referral
10547,2025-04-05,Referral
10548,2025-01-13,Paid Ads
10549,2025-03-30,Paid Ads
10550,2025-05-07,Organic
10551,2025-04-17,Organic
10552,2025-06-21,Paid Ads
10553,2025-01-21,Paid Ads
10554,2025-06-22,Referral
10555,2025-01-04,Paid Ads
10556,2025-06-04,Paid Ads
10557,2025-02-15,Paid Ads
10558,2025-01-18,Paid Ads
10559,2025-03-05,Organic
10560,2025-01-29,Organic
10561,2025-06-12,Paid Ads
10562,2025-01-13,Paid Ads
10563,2025-03-10,Organic
10564,2025-05-17,Referral
10565,2025-03-23,Paid Ads
10566,2025-03-29,Referral
10567,2025-01-03,Referral
10568,2025-03-15,Organic
10569,2025-03-02,Organic
10570,2025-06-18,Paid Ads
10571,2025-02-12,Paid Ads
10572,2025-05-30,Referral
10573,2025-04-02,Organic
10574,2025-06-21,Referral
10575,2025-05-03,Referral
10576,2025-01-19,Referral
10577,2025-05-25,Paid Ads
10578,2025-02-22,Organic
10579,2025-01-17,Paid Ads
10580,2025-05-09,Paid Ads
10581,2025-02-22,Paid Ads
10582,2025-03-13,Paid Ads
10583,2025-05-04,Organic
10584,2025-06-29,Paid Ads
10585,2025-01-16,Paid Ads
10586,2025-01-17,Organic
10587,2025-01-05,Paid Ads
10588,2025-04-12,Organic
10589,2025-06-19,Referral
10590,2025-05-08,Paid Ads
10591,2025-06-08,Referral
10592,2025-03-06,Referral
10593,2025-04-26,Referral
10594,2025-04-13,Paid Ads
10595,2025-03-25,Paid Ads
10596,2025-02-10,Referral
10597,2025-05-21,Paid Ads
10598,2025-05-11,Paid Ads
10599,2025-04-14,Paid Ads
10600,2025-06-21,Paid Ads
10601,2025-02-03,Referral
10602,2025-04-19,Paid Ads
10603,2025-04-22,Referral
10604,2025-04-30,Paid Ads
10605,2025-04-23,Referral
10606,2025-01-19,Organic
10607,2025-04-23,Paid Ads
10608,2025-06-27,Referral
10609,2025-06-05,Organic
10610,2025-05-29,Paid Ads
10611,2025-01-22,Organic
10612,2025-04-29,Organic
10613,2025-06-08,Referral
10614,2025-03-11,Paid Ads
10615,2025-02-25,Organic
10616,2025-02-16,Paid Ads
10617,2025-05-20,Referral
10618,2025-02-17,Paid Ads
10619,2025-05-23,Organic
10620,2025-03-22,Paid Ads
10621,2025-02-20,Paid Ads
10622,2025-02-08,Organic
10623,2025-03-31,Organic
10624,2025-06-18,Paid Ads
10625,2025-02-08,Paid Ads
10626,2025-03-17,Paid Ads
10627,2025-05-10,Organic
10628,2025-01-13,Paid Ads
10629,2025-06-25,Paid Ads
10630,2025-06-10,Organic
10631,2025-05-01,Paid Ads
10632,2025-05-15,Paid Ads
10633,2025-01-23,Referral
10634,2025-01-11,Paid Ads
10635,2025-01-31,Paid Ads
10636,2025-06-24,Referral
10637,2025-01-17,Referral
10638,2025-04-01,Referral
10639,2025-05-25,Organic
10640,2025-06-11,Paid Ads
10641,2025-01-12,Paid Ads
10642,2025-03-09,Paid Ads
10643,2025-03-20,Organic
10644,2025-01-16,Referral
10645,2025-02-10,Paid Ads
10646,2025-05-05,Organic
10647,2025-05-27,Organic
10648,2025-05-12,Paid Ads
10649,2025-03-09,Paid Ads
10650,2025-04-04,Organic
10651,2025-04-11,Organic
10652,2025-03-27,Organic
10653,2025-06-06,Paid Ads
10654,2025-01-16,Paid Ads
10655,2025-06-27,Paid Ads
10656,2025-05-17,Referral
10657,2025-06-30,Organic
10658,2025-06-09,Organic
10659,2025-04-13,Paid Ads
10660,2025-06-12,Paid Ads
10661,2025-02-11,Referral
10662,2025-03-18,Referral
10663,2025-02-24,Paid Ads
10664,2025-01-28,Referral
10665,2025-06-11,Organic
10666,2025-03-13,Paid Ads
10667,2025-04-26,Organic
10668,2025-03-09,Paid Ads
10669,2025-06-01,Paid Ads
10670,2025-04-28,Organic
10671,2025-03-20,Paid Ads
10672,2025-04-02,Paid Ads
10673,2025-02-12,Paid Ads
10674,2025-06-12,Referral
10675,2025-05-16,Paid Ads
10676,2025-04-12,Referral
10677,2025-01-27,Organic
10678,2025-04-04,Paid Ads
10679,2025-04-17,Referral
10680,2025-06-03,Paid Ads
10681,2025-06-10,Paid Ads
10682,2025-05-26,Paid Ads
10683,2025-05-29,Paid Ads
10684,2025-01-21,Organic
10685,2025-05-29,Paid Ads
10686,2025-04-27,Referral
10687,2025-03-10,Paid Ads
10688,2025-05-07,Referral
10689,2025-05-12,Organic
10690,2025-02-05,Paid Ads
10691,2025-02-27,Referral
10692,2025-05-07,Referral
10693,2025-05-15,Paid Ads
10694,2025-03-30,Organic
10695,2025-01-09,Paid Ads
10696,2025-06-26,Referral
10697,2025-05-06,Organic
10698,2025-04-11,Organic
10699,2025-03-07,Organic
10700,2025-02-25,Paid Ads
10701,2025-04-17,Organic
10702,2025-03-26,Referral
10703,2025-03-21,Paid Ads
10704,2025-05-10,Referral
10705,2025-03-04,Paid Ads
10706,2025-06-05,Paid Ads
10707,2025-04-18,Referral
10708,2025-04-03,Paid Ads
10709,2025-06-08,Paid Ads
10710,2025-01-15,Referral
10711,2025-03-13,Organic
10712,2025-03-26,Paid Ads
10713,2025-05-22,Organic
10714,2025-02-05,Paid Ads
10715,2025-02-11,Organic
10716,2025-04-23,Organic
10717,2025-04-29,Organic
10718,2025-06-25,Referral
10719,2025-01-19,Referral
10720,2025-01-09,Paid Ads
10721,2025-01-09,Organic
10722,2025-02-10,Organic
10723,2025-01-06,Paid Ads
10724,2025-03-19,Paid Ads
10725,2025-06-30,Organic
10726,2025-03-21,Paid Ads
10727,2025-03-02,Paid Ads
10728,2025-04-27,Paid Ads
10729,2025-04-13,Paid Ads
10730,2025-04-15,Organic
10731,2025-02-13,Paid Ads
10732,2025-04-13,Organic
10733,2025-01-01,Paid Ads
10734,2025-01-11,Referral
10735,2025-06-16,Referral
10736,2025-05-26,Organic
10737,2025-05-25,Organic
10738,2025-03-19,Referral
10739,2025-04-16,Organic
10740,2025-05-24,Paid Ads
10741,2025-04-03,Paid Ads
10742,2025-01-21,Organic
10743,2025-06-16,Organic
10744,2025-03-13,Referral
10745,2025-03-31,Referral
10746,2025-05-19,Organic
10747,2025-03-20,Referral
10748,2025-05-02,Organic
10749,2025-05-14,Organic
10750,2025-04-06,Organic
10751,2025-03-17,Paid Ads
10752,2025-04-13,Paid Ads
10753,2025-01-08,Organic
10754,2025-02-26,Organic
10755,2025-05-19,Paid Ads
10756,2025-03-01,Organic
10757,2025-01-09,Referral
10758,2025-03-30,Paid Ads
10759,2025-03-20,Paid Ads
10760,2025-05-11,Paid Ads
10761,2025-01-25,Paid Ads
10762,2025-01-23,Organic
10763,2025-03-31,Paid Ads
10764,2025-03-21,Organic
10765,2025-01-11,Organic
10766,2025-02-26,Paid Ads
10767,2025-02-03,Paid Ads
10768,2025-06-05,Referral
10769,2025-01-21,Paid Ads
10770,2025-01-20,Paid Ads
10771,2025-06-24,Paid Ads
10772,2025-02-09,Paid Ads
10773,2025-06-13,Referral
10774,2025-05-30,Paid Ads
10775,2025-02-27,Referral
10776,2025-02-04,Organic
10777,2025-04-19,Paid Ads
10778,2025-01-10,Organic
10779,2025-06-14,Organic
10780,2025-06-18,Organic
10781,2025-03-28,Paid Ads
10782,2025-02-19,Organic
10783,2025-04-20,Organic
10784,2025-05-10,Paid Ads
10785,2025-03-17,Paid Ads
10786,2025-05-01,Referral
10787,2025-06-16,Referral
10788,2025-03-16,Paid Ads
10789,2025-06-21,Paid Ads
10790,2025-05-05,Organic
10791,2025-04-29,Paid Ads
10792,2025-05-15,Paid Ads
10793,2025-03-22,Paid Ads
10794,2025-02-17,Paid Ads
10795,2025-06-14,Paid Ads
10796,2025-01-05,Paid Ads
10797,2025-05-07,Referral
10798,2025-04-17,Paid Ads
10799,2025-05-30,Paid Ads
10800,2025-05-11,Referral
10801,2025-01-28,Paid Ads
10802,2025-03-10,Paid Ads
10803,2025-04-10,Referral
10804,2025-06-22,Organic
10805,2025-02-09,Paid Ads
10806,2025-05-07,Organic
10807,2025-02-23,Paid Ads
10808,2025-01-31,Paid Ads
10809,2025-01-05,Referral
10810,2025-04-09,Referral
10811,2025-05-19,Organic
10812,2025-01-03,Paid Ads
10813,2025-02-05,Paid Ads
10814,2025-01-06,Paid Ads
10815,2025-03-25,Paid Ads
10816,2025-01-27,Referral
10817,2025-05-04,Paid Ads
10818,2025-01-23,Paid Ads
10819,2025-05-13,Organic
10820,2025-01-10,Paid Ads
10821,2025-05-19,Paid Ads
10822,2025-01-26,Organic
10823,2025-05-13,Referral
10824,2025-06-12,Paid Ads
10825,2025-04-17,Paid Ads
10826,2025-02-19,Paid Ads
10827,2025-04-24,Paid Ads
10828,2025-01-27,Referral
10829,2025-02-08,Paid Ads
10830,2025-05-09,Paid Ads
10831,2025-06-15,Paid Ads
10832,2025-02-16,Paid Ads
10833,2025-04-20,Organic
10834,2025-03-09,Organic
10835,2025-02-03,Referral
10836,2025-02-24,Organic
10837,2025-02-26,Paid Ads
10838,2025-05-31,Paid Ads
10839,2025-03-12,Referral
10840,2025-04-11,Paid Ads
10841,2025-04-27,Referral
10842,2025-01-18,Paid Ads
10843,2025-06-25,Referral
10844,2025-06-09,Paid Ads
10845,2025-05-29,Paid Ads
10846,2025-01-23,Paid Ads
10847,2025-04-27,Paid Ads
10848,2025-02-03,Paid Ads
10849,2025-02-24,Paid Ads
10850,2025-02-11,Paid Ads
10851,2025-02-05,Paid Ads
10852,2025-06-29,Referral
10853,2025-02-18,Paid Ads
10854,2025-06-10,Paid Ads
10855,2025-04-17,Organic
10856,2025-05-11,Organic
10857,2025-01-26,Organic
10858,2025-03-31,Paid Ads
10859,2025-01-09,Paid Ads
10860,2025-03-20,Organic
10861,2025-06-28,Paid Ads
10862,2025-03-01,Organic
10863,2025-06-23,Paid Ads
10864,2025-04-24,Paid Ads
10865,2025-06-30,Organic
10866,2025-01-01,Organic
10867,2025-02-06,Organic
10868,2025-02-26,Paid Ads
10869,2025-04-23,Paid Ads
10870,2025-03-01,Paid Ads
10871,2025-02-07,Referral
10872,2025-06-02,Organic
10873,2025-06-12,Paid Ads
10874,2025-05-07,Paid Ads
10875,2025-05-10,Paid Ads
10876,2025-02-03,Referral
10877,2025-06-26,Paid Ads
10878,2025-01-17,Organic
10879,2025-02-06,Paid Ads
10880,2025-05-25,Organic
10881,2025-05-23,Organic
10882,2025-01-06,Paid Ads
10883,2025-06-08,Organic
10884,2025-03-11,Organic
10885,2025-06-12,Paid Ads
10886,2025-01-22,Paid Ads
10887,2025-01-13,Organic
10888,2025-03-03,Referral
10889,2025-05-18,Paid Ads
10890,2025-04-06,Paid Ads
10891,2025-01-22,Organic
10892,2025-01-07,Referral
10893,2025-04-15,Paid Ads
10894,2025-05-21,Paid Ads
10895,2025-01-13,Organic
10896,2025-04-15,Paid Ads
10897,2025-02-27,Organic
10898,2025-03-24,Paid Ads
10899,2025-04-24,Organic
